text,class
"Die verschiedenen Umschrift- bzw. Romanisierung-Systeme sind dadurch sehr komplex geworden. Zum Beispiel, die englische Übersetzung des Kubijovyč der Ukraine: A Concise Encyclopædia nutzt eine modifizierte Library of Congress (ALA-LC), wie für ukrainische und russische Namen-mit den Ausnahmen für Endungen oder verdoppelte Konsonanten Anwendung verschiedentlich persönliche und geografische Namen aufgeführt. Aus verschiedenen traditionellen, gewohnheitsmäßigen und auch aus technischen Gründen, verwenden Karten in der Enzyklopädie unterschiedliche Namenskonventionen. Die Namen der Personen werden meist in der internationalen Schreibweise in der britischen Transkription bei enzyklopädischen Texten wiedergeben. wiedergegeben, sondern daher auch in ihrer ursprünglichen Form im Index. Verschiedene geographische Namen in ihrer englischen, deutschen Transkription, aus der russischen oder in der ukrainischen Schreibweise und der polnischen Formen geben das w bzw. v in verschiedenen Formen wieder. Die Wissenschaftliche Transliteration wird hauptsächlich in Artikeln der Linguistik verwendet.
",deu
"Allendorf liegt nur einige Kilometer nördlich des Reiskirchener Autobahndreiecks. Über die Auffahrten Reiskirchen oder Grünberg besteht Anschluss an die A 5, A 485 und A 45 in alle Richtungen. Über Staufenberg gelangt man auf die B 3 in Richtung Marburg und Kassel.
",deu
"Los primeros habitantes se establecieron cerca de 1380, siendo un grupo de mixtecas, zapotecas, otomíes y olmecas. Tras la conquista de México la población fue encargada a Sebastián y Luisa Narvaes. Se estableció como patrono a San Andrés, a quién se le creó una escultura en el siglo XVI. El 11 de febrero de 1599 el virrey Luis de Velasco y Ruiz de Alarcón otorgó un título en reconocimiento de las tierras comunales de los grupos originarios.[2]​
",spa
"In der Kirche steht die älteste erhaltene Orgel in Ostpreußen. Sie ist zudem die einzige mit noch wesentlichen originalen Teilen erhaltene dreimanualige Orgel des 17. Jahrhunderts im ehemaligen Nordostdeutschland. Sie verfügt noch über den originalen Barockklang.
",deu
"S Bläsischuelhuus stoot an dr Müllhäimerstrooss 94 im Mattyskwardier z Baasel. Es isch äini vo säggs Chläibaasler Kwardierschuele, und umfasst as sogenannti Brimarstuefe dr zwäijöörig Kindergaarde und die säggsjöörigi Brimarschuel mit öbbe 350 Brimarschüelerinne und -schüeler und 120 Mäitli und Buebe im Kindergaardenalter. Si wärde vo öbbe 75 Leerchreft underrichdet.
",als
"Dr Hafis het Beck gleert und as Beck gschafft, bis er mit äinäzwanzig e Schüeler vom Attar z Schiraz worde isch. Er isch Hoofdichder vom Abu Ishak worde und r rennommierte Koranleerer und isch Mitgliid im ene Sufi-Orde (Tariqa) gsi. Wo 1333 dr Mubariz Muzaffar d Stadt erooberet und iin entloo het, het dr Hafis aagfange anstatt „romantischi“ Brotestlieder afo verfasse.
",als
"As 16-jehrige Schueler het dr Strobl aagfange, si zum erschte Mol bolitisch z engaschiere, wun er zäme mit andere dr Arbeitskreis demokratischer Schüler as Gegegewicht zue dr an syre Schuel seli aktive Jungsozialischte grindet het. 1976 isch er in di Jung Union yydrätten un 1977 au in d CDU.
",als
"Dr Wenkerboge vo Charsau isch es Blatt für di grosse Ufnaam vo dr dütsche Sproch, wo dr Sprochforscher Georg Wenker vo 1852 bis 1911 für de Düütsch Sprochadlas gmacht hed. D Schuele im domolige dütsche Rych hend e Frogeboge übercho mid Muschdersätz, zum se in lokale Dialäkt z übersetze. Au im alemannische Sprochgebiet hend vili Gmeindschuele mitgmacht.
",als
"Graham Watson wurde im schottischen Rothesay auf der Isle of Bute geboren. Sein Vater war Offizier in der Royal Navy und seine Mutter Lehrerin. Er besuchte die Schule in Somerset und studierte anschließend an der Heriot-Watt University in Edinburgh, wo er 1979 einen Bachelor-of-Arts-Abschluss in Sprachen erwarb. Er spricht vier europäische Sprachen und arbeitete zwischen 1979 und 1980 als Dolmetscher. Von 1980 bis 1983 arbeitete er in der Verwaltung des Paisley Colleges.
",deu
"28. Jänner: Bi me Fescht am Hof vum franzesische Chenig Karl VI. chunnt s zue me Brand («Bal des Ardents»). Doderby stärbe vier Frynd vum Karl, wu derno d Regäntschaft an sy Brueder Ludwig vu Orléans iberdrait.
",als
"Wat die dodelike voëlgriepvariant is wat tans deur die wêreld versprei word. Daar het sedert 1997 reeds tiental miljoene voëls wat gevrek het en meer as 100 mense wat daardeur besmet is, waarvan bykans die helfte daaraan beswyk het.
",afr
"Hy het in 1883 na Engeland gereis om die Pretoria Konvensie van 1881 (die ooreenkoms tussen die Boere en die Engelse wat die Eerste Vryheidsoorlog beëindig het) te verander.
",afr
"Bi Liechtwälle im Vakuum git s kä Relativbewegig zum Dräägermedium, wil d Liechtgschwindigkäit im Wakuum in alle Inerzialsüstem gliich grooss isch. Dr Dopplereffekt vom Liecht cha also nume vo dr Relativgschwindigkäit vo dr Quelle und em Empfänger abhänge, das häisst, es macht kä Underschiid, öb sich d Kwelle oder dr Empfänger bewegt. Wil e Relativbewegig schnäller as d Liechtgschwindigkäit im Wakuum nit möglig isch, git s für s Liecht im Vakuum kä analogs Fänomeen zum Überschallknall. In Medie wie Wasser, wo sich s Liecht weniger schnäll usbräitet as im Wakuum, git s dr Tscherenkow-Effekt, wo em Überschallknall äänelet.
",als
"Geboren als Gülden Göktürk übernahm sie nach den ersten Veröffentlichungen (1969), bei denen sie Orhan Gencebay begleitete, ab 1971 den Künstler(nach)namen ihrer Schwester Neşe Karaböcek. Nachdem der Ehemann ihrer Schwester Attila Alpsakarya behauptete mit ihr zusammen zu sein, durchlebte sie schwere Zeiten und sah sich schließlich gezwungen ihn zu heiraten.Sie lebte in den achtziger Jahren eine Zeit lang in der Bundesrepublik Deutschland, inspiriert wurde davon ihr Stück Yalan Almanya (Verlogenes Deutschland). Mit Bir Mucize Allah’ım brachte sie 1987 die erste in der Türkei produzierte CD heraus.
",deu
"Serbia participará en los Juegos Olímpicos de París 2024. Responsable del equipo olímpico es el Comité Olímpico de Serbia, así como las federaciones deportivas nacionales de cada deporte con participación.
",spa
"Die toring het oorspronklik in skaak se voorgangers sjatoeranga en sjatrandj 'n strydwa voorgestel. Die Persiese woord rokh beteken strydwa en die ooreenstemmende stukke in die Oosterse spele chiangtsi en shogi het name wat strydwa beteken. Persiese strydwaens was swaar gewapen en het 'n drywer en ten minste een wapendraer soos 'n boogskutter vervoer. Die kante van die wa is gebou om soos 'n klipfort te lyk wat die indruk geskep het van klein mobiele geboue wat op die slagveld vrees ingeboesem het. In die Weste is die toring egter byna universeel as 'n gekanteelde geskuttoring voorgestel. Dit kan moontlik verduidelik word deur die ooreenkoms tussen die Persiese woord rokh en die Italiaanse woord rocca wat fort beteken. 'n Ander moontlikheid is dat torings belegtorings voorgestel het. Torings lyk gewoonlik soos klein kastele wat daartoe lei dat die stuk baie keer informeel kasteel genoem word. In Engels is die woord vir rokade (castling) van die woord vir kasteel afkomstig al word die naam rook vir die skaakstuk gebruik.
",afr
"Los bitardos utilizan una faluche, que es una gorra tradicional de los estudiantes de Francia, con cierto diseño y códigos característicos. El faluche de los dignatarios bitardos está decorado con un chevrón. Junto con esta gorra, los bitardos se ponen una capa cuyo color es indicativo de su rango dentro de la Orden.
",spa
"»Wie wird doch der, dem dieses Buch durch fleißiges Lesen geläufig geworden ist, von seinem Geiste im Innersten ergriffen. Es ist die belehrendste und erhabenste Lektüre, die auf der Welt möglich ist; sie ist der Trost meines Lebens gewesen und wird der meines Sterbens sein.«
",als
"El General empieza a controlar al Gigantor gracias al doctor Chen, pero uno de sus secuaces se rebela, Khan, el robot que ahbía atacado a Marty en la torre de Hierro. dice al general que el gigantor es un arma indigna e intenta atacar al doctor Chen, pero el General lo destruye.
",spa
"Rüdiger Schmitt: Astarte. In: Michaela Bauks, Klaus Koenen, Stefan Alkier (Hrsg.): Das wissenschaftliche Bibellexikon im Internet (WiBiLex), Stuttgart 2006 ff., Zugriffsdatum: 4. September 2008.
",als
"Die Betriebsführung lag bis 1928 in den Händen der Betriebsabteilung Stuttgart der Westdeutschen Eisenbahn-Gesellschaft in Köln und ging dann durch deren Fusion mit der AG für Verkehrswesen auf die Vereinigten Kleinbahnen AG über. Seit 1. Juli 1933 führt die HzL ihren Betrieb selbst. Sitz der Verwaltung ist Hechingen.
",deu
"Maar indien die fossiele geskiedenis bekyk word, stam ook die soogdiere (en hul voorsate die Synapsida en terapside) en die voëls (Aves) van die eerste Amniota af. Die tradisionele klasse Reptilia is dus parafileties. Dit word dalk deur soöloë steeds gebruik, maar nie deur paleontoloë nie.
",afr
"In die natuur kom geen hassium voor nie; alle isotope is sinteties in ’n laboratorium berei. Die eerste sintetiese isotoop was 265Hs, in 1984.
",afr
"Daar is baie tipes optieseveselkabels. Die onderwaterkabels wat die oseane deurkruis, is seker die bekendste. So byvoorbeeld word Suid-Afrika verbind met onderwateroptieseveselkabels vanaf Europa, naamlik SAT-2 en SAT-3 langs die weskus van Afrika. Dit dra tans die meeste van die kommunikasie, byvoorbeeld telefoon-, data-, internet- en videoverkeer tussen Suid-Afrika en Europa. Die SAFE-onderwaterkabel verbind Suid-Afrika met die Ooste, terwyl die SEACOM-kabel Suid-Afrika met Europa verbind langs die ooskus van Afrika.
",afr
"'n Toring is 'n baie kragtige stuk om skaakmat te bewerkstellig. Onder volg 'n aantal voorbeelde van toringskaakmatte wat maklik afgedwing kan word.
",afr
"Der Steinhügel ist seiner meisten Steine beraubt. Er war ursprünglich ungefähr 14 m lang. Der Eingang zur Kammer liegt zwischen zwei hohen Steinen in der Mitte der konkaven Fassade, deren acht große Steine erhalten sind. Die Galerie ist in drei Kammern unterteilt, ihre Seitenwände sich schuppenartig überlappen. Die erneute Ausgrabung von 1961 offenbarte auf dem Vorhof drei dicke Schichten mit Belegen von Feuern und die Radiocarbondaten verweisen darauf, dass der Vorplatz der Anlage etwa 1000 Jahre lang, vom Anfang des 4. Jahrtausends v. Chr. an verwendet wurde. Die frühere Ausgrabung der Kammer ergab einige Stücke Töpferware und einige Abschläge von Arran pitchstone, einem vulkanischen glasartigen Gestein. Die Bestattungen hatten sich im sauren Boden aufgelöst.
",deu
"Hay una diferencia en las tasas de divorcio observadas entre los distintos tipos de matrimonios arreglados. Las tasas de divorcio en los países islámicos con matrimonios consanguíneos arreglados, como Arabia Saudita, Turquía, Egipto, Qatar, Jordania es de entre 20% a 35%,[123]​ en contraste con el menos del 10% de las tasas de divorcio en matrimonios arreglados no consanguíneos entre los Amish, hindúes y judíos ortodoxos.
",spa
"Desde antes incluso de su retirada, Vlade Divac ha formado parte de la estructura de diversos clubes de baloncesto. A finales de 2000 se convirtió en presidente del Partizan de Belgrado, aunque debido a su ocupación como jugador en la NBA, fue su compatriota, amigo y vicepresidente del equipo, Predrag Danilović, quien se hizo cargo en la práctica de las riendas de la escuadra. Además, después de dar por finiquitada su carrera como jugador, el ya ex pivot trabajó como scout para los Lakers durante un año.
",spa
"Vo 1937 bis 1945 isch Düütsche d Aanaahm vom Nobelpriises ""für alli Zuekunft"" underseit worde; ersatzwiis isch dr Dütschi Nationalpriis für Kunscht und Wüsseschaft iigfüehrt worde, wo nur 1937 und 1938 verliehe worde isch.
",als
"Im Johr 1124 isch s Schloss vo Àlt-Pfìrt s erschte Mol in ere Urkunde gnennt worde, s Dorf sälber erscht me wi hundert Johr schpöter, im 1269i. Immer wider sin Plünderige un Zerstörige vom Schloss un em Dorf belegt, so au im 1445 durch d Basler un im 1633, also wärend em Driisigjöhrige Chrieg, vo de Schwede.
",als
"Bertlenge hot sich mit dr Gmoede Adelberg, Birebach ond Rechberghouse zom Gmoeverwaltongsverband Eschtlicher Schurwald mit Sitz en Rechberghouse zammegschlosse.
",als
"Für die sechs Zaubertiere beginnt eine gefahrvolle Reise durch die nächtliche Stadt, um zu Martha Miller zu kommen. Doch ein paar Blechspielzeuge unter Führung der Marionette Rex wollen die Reisenden vernichten.
",deu
"Gemeinde Bernterode (Hrsg.): Bernterode im Eichsfeld. Unser Dorf und seine Menschen in Vergangenheit und Gegenwart. Heiligenstadt 1999, S. 112.
",deu
"Die imposante Franke-toring is in 1907 opgerig en vernoem na kaptein Victor Franke om die oorlewing van die Duitse troepe tydens die Herero-beleg te gedenk. Daar is ook 'n groot swembad en woonwapark in 'n boomryke omgewing.
",afr
"Schloss war eine der ersten Künstler, die von Canon eine 8-mm-Video-Kamera zum Experimentieren zur Verfügung gestellt bekam. Mit der Kamera entwarf sie ein Reisebericht Videoformat ""Sun Daze Away"", das 1989 auf der Central Park’s Sommerbühne in Europa and Asien gezeigt wurde. Ab 1990 arbeitete Schloss als Produzentin und Regisseurin für die Video Dokumentation ""FromKepler2Cyberspace"", ausgeführt mit einer Hi8 Ausstattung von Sony. Diese Dokumentation stellt Pioniere künstlicher Intelligenz und virtueller Realität, wie z.B. Dr. Marvin Minsky, John Perry Barlow, Timothy Leary, William Gibson und Jaron Lanier vor. Zur gleichen Zeit filmte Schloss eine Serie von Interviews mit John Cage die sie der Serie ""Windows of Chance/Change"" zufügte. Nickelodeon strahlte ihr Video-Kunst-Projekt für Kinder, das ""Alphabet"" aus und beauftragte sie 1989 fünfzehn Live-Videos für die Zeichentrick-Serie ""Eureeka's Castle"" zu produzieren. Diese gewannen den Cable-ACE-Award.
",deu
"Bi de Kantonsraatswaale 2011 hät s das Ergebnis ggee: BDP 4,9 %, CVP 5,6 %, EDU 2,1 %, EVP 2,2 %, FDP 20,0 %. GLP 8,0 %, GP 6,8 %, SP 17,0 %, SVP 32,1 %, Suschtigi 1,2 %.
",als
"Der ASGB zählt wie die baskische Eusko Langillen Alkartasuna, das bretonische Sindikat labourien Breizh SLB und das korsische Sindicatu de i travagliadori corsi STC zu den ethnischen Gewerkschaften Europas.
",deu
"Alexandru Segal, con sólo doce años de edad, ya se clasificó entre los jugadores de ajedrez de clase mundial en Rumania, convirtiéndose en campeón de la juventud después Europeo Sub-26. En 1968 se ha ganado el campeón universitario. Participó en las finales nacionales y representó a Brasil en varios eventos internacionales. Ganó io Gran Maestro alemán Robert Hübner y señaló con el Gran Maestro húngaro Zoltán Ribli, el ganador del Interzonal de Las Palmas.
",spa
"Twee damesstudente het hulself in 2016 gegrimeer om soos ruimtewesens te lyk. Die US-bestuur het op grond van foto’s geoordeel dat hulle hulle gesigte swart gesmeer het. Die twee dames is daarna uit 'n US-koshuis geskors. Die gebeure staan as die persgesig-insident of swartgesig-herrie bekend, waar dit skynbaar onverskoonbaar vir wit mense is om hulle soos swart mense te vermom.
",afr
"La economía es fundamentalmente agrícola con cierto desarrollo industrial en la ciudad de San Cristóbal. Mantiene un central azucarero en activo (30 de Noviembre). Recientemente se ha iniciado con éxito el cultivo de la vid y la producción de vino a partir de uvas cosechadas en Cuba de la marca ""Bodegas San Cristóbal""[1]​[2]​
",spa
"«Concepción Morales Torres». Índice Internacional de Nombres de las Plantas (IPNI). Real Jardín Botánico de Kew, Herbario de la Universidad de Harvard y Herbario nacional Australiano (eds.).
",spa
"El concepto hinduísta-budista de chakravartin es una perfecta ilustración del concepto de monarquía universal,[19]​[20]​ la rueda que gira sin que nada la detenga, simbolizando al goberante universal ideal (sarvabhauma) que gobierna ética y benevolentemente sobre el mundo entero.
",spa
"Buiten sy rol aan die Tamkang Universiteit, is Inayatullah 'n hulpprofessor aan die ""Centre for Policing, Intelligence and Counter-Terrorism"", Macquarie Universiteit, Sydney, asook hulpprofessor aan die Universiteit van die Sunshine Coast (Fakulteit van Sosiale Wetenskappe en die Kunste).
",afr
"Nach der Volkszählung von 2000 leben in Georgetown 18.080 Menschen in 6.703 Haushalten und 4.618 Familien. Die Bevölkerungsdichte liegt bei 508,7 Personen/km². Die weiße Bevölkerung ist mit 88,68 % am stärksten vertreten, gefolgt von der afroamerikanischen Bevölkerung ist mit 8,01 %.
",deu
